frac,radio,mza,vivs
62,6,1,39
62,6,2,1
62,6,3,35
62,6,4,38
62,6,9,37
62,6,11,35
72,2,1,31
72,2,2,35
72,2,3,35
72,2,4,33
72,2,5,30
72,2,6,29
72,2,7,34
72,2,8,27
72,2,9,34
72,2,10,27
72,2,11,29
72,2,12,28
